Адрес|Статус|Кадастровый номер|GUID дома|GUID ФИАС|ОКТМО|Способ управления|ОГРН УО|Управляющая организация|Тип дома|Состояние|Общая площадь|Жилая площадь|Дата сноса|Помещений всего|КВ|НЖ|ММ|ОИ|ЛК|ЧКВ|ERR|Квартир с комнатами
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 25, корп. 2, строение 1|МКД|78:42:1820803:3127|d8d1ba71-ea02-49dd-95dc-2d539827667a|1a0dc13a-75f8-4519-8313-634f2c76b167|40397000|Не выбран|||Жилой|Исправный|320.5000|||0|0|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 25, литер А|МКД|78:42:1820803:3012|c853d3ce-31ff-4bbb-a841-ba71d2718084|f0a140c8-612e-464e-8d59-4576aa2646b7|40397000|Не выбран|||Жилой|Исправный|80.5000|||0|0|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 27, литер А|МКД|78:42:1820803:3087|84e484f1-7273-4c09-84e9-35157a9a5052|32928ed5-fba4-4068-92a9-11fce846671c|40397000|Не выбран|||Жилой|Исправный|61.7000|||0|0|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 30, литер А|МКД|78:42:0018206:1005|48ca8da5-c0e5-4039-9cab-a61371719d57|8330b503-e751-4311-8790-b997a17ade95|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|3068.1000|1845.2||21|20|1|0|0|0|32|0|9
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 31а, литер А|МКД|78:42:1820801:1007|6d4a2da7-b9a0-45e8-b62d-83c9e89aaf38|28075cab-f7f6-483b-92fb-37b5009fa72c|40397000|Не выбран|||Жилой|Исправный|527.4000|||0|0|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 31, литер А|МКД|78:42:1820801:1016|620373a5-e900-4a6a-94d9-9b232f06f3e4|a84220ce-481a-4553-8c17-28f4df14758d|40397000|Не выбран|||Жилой|Исправный|100.4000|||0|0|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 33, литер А|МКД|78:42:1820801:1006|b67446ee-d4b5-473e-ba36-3b74bc1e1998|2c042598-ce6d-4da6-8c1a-12a8b3d80b03|40397000|Не выбран|||Жилой|Исправный|1049.0000|||0|0|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 39, литер А|МКД|78:42:0018238:5425|5efba825-3ae6-46a3-8729-f6d186feb9a9|ba278ed2-0702-4905-b182-df44be8171f1|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|158.4000|158.4||4|4|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 3, литер А|МКД|78:42:1820803:3020|3ba4bbb3-dea7-4dad-baf4-bc704d93bcef|b2ae1ce4-8eaf-43ff-8c20-ccd40571e44c|40397000|Не выбран|||Жилой||129.4000|||0|0|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 41, литер А|МКД|78:42:0000000:3084|920d512e-9be4-413e-bb35-71da78671b89|d7db78e1-4a96-4d1c-ae05-7ce75c5c62cd|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|971.3000|971.3||24|24|0|0|0|0|0|0|0
